FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3373,Point_2231,12,Animal Location,2231,2231,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],271A,500731.8589,4931440.824
,3374,Point_4221,12.5,Animal Location,4092,4092,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],271B,500849.8431,4931387.492
,3375,Point_4222,8.5,Animal Location,4093,4093,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],565A,515366.6918,4929788.193
,3376,Point_4223,12.5,Animal Location,4094,4094,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],393A,523408.344,4937178
,3377,Point_1830,12.5,Animal Location,1830,1830,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],093A,525668,4939510
,3378,Point_4224,8.5,Animal Location,4096,4096,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],521B,526821.1343,4934310.362
,3379,Point_4225,8.5,Animal Location,4095,4095,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],521A,526488.2079,4934493.68
,3380,Point_4226,12.5,Animal Location,4097,4097,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],327A,533356.2619,4940720.772
,3381,Point_1956,12,Animal Location,1956,1956,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],166A,519212.8193,4931045.19
,3382,Point_2095,12,Animal Location,2095,2095,7363,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],166B,519231.7333,4930891.389
,3383,Point_4227,10,Animal Location,4098,4098,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],535A,544347.1778,4936425.456
,3384,Point_4228,12,Animal Location,4099,4099,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],535B,545064.1803,4938187.256
,3385,Point_4229,8.5,Animal Location,4100,4100,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],535C,545716.8316,4938397.967
